coagulation,change to a thick and solid state
ambivalent,having both of two contrary meanings
aggravate,make worse; irritate
accolade,praise; approval
renowned,celebrated; famous
disproof,proof to the contrary
rejuvenation,becoming young in nature or appearance
pest,destructive thing or a person who is nuisance
arrogance,proud; superior manner of behaviour
endeavor,to make an effort, to try very hard"
evoke,call up bring out
constrict,make tight or smaller
loll,rest to sit or stand in a lazy way hang (dog's tongue)
hypocrisy,falsely making oneself appear to be good
retrospective,Looking back on past
commemorate,keep the memory of
impromptu,without preparation
succumb,yield, die"
equilibrium,state of being balanced
shard,A piece of broken pottery
parenthesis,sentence within another one something separated
abstruse,difficult to comprehend; obscure
articulate,speak distinctly; connect by joints
sanity,health of mind soundness of judgment
immutable,that cannot be changed
strive,to make great efforts, to struggle"
unscathed,unharmed unhurt
ail,to cause pain, uneasiness, or trouble to."
eloquence,fluent speaking skillful use of language
allegiance,duty support loyalty
divergence,getting farther apart from a point
derivative,unoriginal; obtained from another source
cordial,warm and sincere
ascend,go or come up
odor,smell
indulgent,inclined to indulge
lampoon,publicly mock or ridicule
repel,refuse to accept/cause dislike
implosion,collapse; bursting inward
malleable,yielding easily shaped; moldable; adapting
mischievous,harmful; causing mischief
partisan,one-sided committed to a party biased or prejudiced
sawdust,tiny bits of wood
massacre,cruel killing of a large number of people
sequence,succession connected line of
reminiscent,suggest something in the past
fragile,easily injured broken or destroyed
ambiguous,doubtful; uncertain
gullible,easily gulled
endorse,write one's name on the back of
liberality,free giving; generosity
torque,twisting force causing rotation
extinguish,end the existence of/wipe or put out
abhor,to hate; to detest
alloy,to debase by mixing with something inferior
recuperate,become strong after illness loss exhaustion
misanthrope,person who hates mankind
calipers,metal supports attached to the legs measuring instrument
clot,half-solid lump formed from liquid
scribble,write hastily
dangle,hand or swing loosely
eradicate,get rid of pull up by the roots
complaisant,trying to please; obliging
erratic,irregular in behaviour or opinion
implicit,implied though; not plainly expressed
cumbersome,burdensome; heavy and awkward to carry
boisterous,noisy; restraint
yeoman,man owning small estate; middle-class farmer
catalyst,substance that causes speeding up
fleet,number of ships; quick-moving
euphoria,elation state of pleasant excitement
elaborate,worked out with much care in great detail
perish,be destroyed decay
poseur,a person who attempts to impress by acting unlike himself
satiate,satisfy fully
adulteration,making unpure; poorer in quality
sophisticated,complex; subtle; refined
reiterate,say or do again several times
weigh,measure how heavy something is
aberration,straying away from what is normal
connoisseur,a person with good judgement (e.g.. in art)
forgery,counterfeit
yarn,tale story fibers for knitting
disallow,refuse to allow or accept as a correct
Lambaste,attack verbally
suffice,be enough
encapsulate,enclose in capsule
arcane,known or understood by very few
riddle,puzzling person or thing
apt,well-suited; quick-witted
dislodge,move force from the place occupied
affable,polite and friendly
turbulence,being uncontrollably violent
warrant,authority written order guarantee
indistinct,not easily heard; seen clearly marked
colloquial,involving or using conversation.
predominate,have more power than others
spear,weapon with a metal point on a long shaft
redeem,get back by payment compensate
narcissism,Self-love
correlate,have a mutual relation
dullard,a stupid, insensitive person"
grumble,to complain
reconcile,settle a quarrel restore peace
dexterity,skill (esp. in handling)
extinct,no longer active
edible,fit to be eaten/not poisonous
vivacious,lively high-spirited
sponge,porous rubber for washing live at once expense
foster,nurture; care for
apartheid,brutal racial discrimination
evasive,tending to evade
plea,request
beguile,mislead or delude; cheat; pass time
sheath,cover for the blade of a weapon or a tool
cryptic,secret with a hidden meaning
luminary,star; light-giving body
bogus,sham; counterfeit; not genuine
abysmal,extreme bad
appease,make quiet or calm
embezzle,use in a wrong way for one's own benefit
sobriety,quality or condition of being sober
